name,capacity_mw,latitude,longitude,primary_fuel
14 Tullywiggan Road,1.0,54.6221,-6.7398,Biomass
289 Finvoy Road,5.9,54.9638,-6.4930,Solar
30 Acres,4.965,53.2062,-1.1968,Solar
A C Shropshire (Farm AD),2.5,52.5860,-1.2375,Biomass
A'Chruach,42.6,56.1528,-5.3102,Wind
ABP Ellesmere Abbatoir,1.1,52.8543,-2.8986,Biomass
AMBLESTON SOLAR PANELS,6.0,51.8992,-4.8665,Solar
ANP Newport Wind Turbine,2.3,51.5559,-2.9738,Wind
Abbey Farm,9.0,52.4193,-0.2366,Solar
Abbey Fields Farm,5.3,51.3187,0.9029,Solar
Abbots Ann,7.0,51.1636,-1.5123,Solar
Abbots Ripton,24.66717,52.3787,-0.1982,Solar
Abbots Ripton Solar Farm (ext.),3.9,52.3726,-0.1943,Solar
Abbots moor Farm Anaerobic Digester (Farm AD),1.0,52.8390,-2.9300,Biomass
Abergelli,7.68222,51.7007,-3.9476,Solar
Aberporth Solar Farm,1.5,52.1234,-4.5632,Solar
Aberthaw B,1586.0,51.3873,-3.4049,Coal
Aberthaw GT,51.0,51.3875,-3.4068,Gas
Aberthaw Power Station Biomass,35.0,51.3875,-3.4066,Biomass
Abhainn Gleann Nam Fiadh,2.0,56.7839,-4.7711,Hydro
Achairn,6.2,58.4385,-3.2015,Wind
Achanalt,3.0,57.6108,-4.9160,Hydro
Achany,38.0,58.0019,-4.5000,Wind
Acharn Forest Killin Biomass Plant,5.6,56.4529,-4.3342,Biomass
Achlachan Wind Farm,10.0,58.4489,-3.4546,Wind
Advanced Manufacturing Research Centre,2.6,53.3876,-1.3779,Wind
Afton Wind Farm,50.0,55.3116,-4.1743,Wind
Agricultural Land at Trecastle,4.0,51.5238,-3.4252,Solar
Aigas,20.0,57.4574,-4.5453,Hydro
Aikengall,48.0,55.9172,-2.4901,Wind
Aikengall II  Wester Dod Community Wind Farm,60.8,55.9172,-2.4901,Wind
Airfield Farm (Podington) (Resubmission),8.6,52.2363,-0.6089,Wind
Airfield Farm PV,5.0,52.4746,0.9501,Solar
Airies Farm,35.0,54.8021,-4.6577,Wind
Airport Road West,1.2,54.6260,-5.8729,Biomass
Alan Bartlett & Sons Solar,1.2,52.4511,0.0379,Solar
Albrighton Solar farm,15.8,52.6395,-2.2507,Solar
Albury Landfill,1.5,51.2242,-0.4906,Waste
Aldi - Cardiff,1.5,51.5002,-3.1181,Solar
Aldi Distribution Centre,1.3,55.8787,-3.6482,Solar
Aldi Distribution Centre - Darlington,1.2,54.5485,-1.5739,Solar
Aldi Distribution Centre - Neston,1.2,53.2894,-3.0322,Solar
